qualified_name,type,category,file_path,line_start,line_end,description,inputs,outputs,raises,dependencies,side_effects,idempotency,async,stability,tests,notes
api_router:compat_pair,function,API,api_router.py,385,460,Implements `compat_pair`.,"req:CompatibilityPairIn=Body(..., openapi_examples={'sample': {'summary': 'Sample', 'value': {'person1': {'name': 'Amit', 'dateOfBirth': '1991-07-14', 'timeOfBirth': '22:35:00', 'placeOfBirth': 'Mumbai, IN', 'timeZone': 'Asia/Kolkata', 'latitude': 19.076, 'longitude': 72.8777, 'lang_code': 'en'}, 'person2': {'name': 'Riya', 'dateOfBirth': '1993-02-20', 'timeOfBirth': '06:10:00', 'placeOfBirth': 'Delhi, IN', 'timeZone': 'Asia/Kolkata', 'latitude': 28.6139, 'longitude': 77.209, 'lang_code': 'en'}, 'type': 'General'}}}) (optional)",return: CompatibilityOut; side_effects: network,none,"', '.join; Body; CompatibilityData; CompatibilityOut; KpiScoreRow; a.get; baseline.get; calculate_synastry; float; hasattr; int; key.replace; key.replace('_', ' ').title; kpi_map.items; kpi_rows.append; max; req.person1.dict; req.person1.model_dump; req.person2.dict; req.person2.model_dump",network,non-idempotent,false,stable,not found,
api_router:compat_group,function,API,api_router.py,464,501,Run advanced group synastry using services.synastry_group_services.,"req:GroupCompatibilityIn=Body(..., openapi_examples={'sample': {'summary': 'Sample', 'value': {'people': [{'name': 'Amit', 'dateOfBirth': '1991-07-14', 'timeOfBirth': '22:35:00', 'placeOfBirth': 'Mumbai, IN', 'timeZone': 'Asia/Kolkata', 'latitude': 19.076, 'longitude': 72.8777, 'lang_code': 'en'}, {'name': 'Riya', 'dateOfBirth': '1993-02-20', 'timeOfBirth': '06:10:00', 'placeOfBirth': 'Delhi, IN', 'timeZone': 'Asia/Kolkata', 'latitude': 28.6139, 'longitude': 77.209, 'lang_code': 'en'}, {'name': 'Karan', 'dateOfBirth': '1990-11-02', 'timeOfBirth': '14:05:00', 'placeOfBirth': 'Pune, IN', 'timeZone': 'Asia/Kolkata', 'latitude': 18.5204, 'longitude': 73.8567, 'lang_code': 'en'}], 'type': 'Friendship Group', 'cursor': None}}}) (optional)",return: GroupCompatibilityOut,"HTTPException(status_code=400, detail=str(ve)); HTTPException(status_code=500, detail=f'Group analysis failed: {e}')",Body; GroupCompatibilityData; GroupCompatibilityOut; HTTPException; router.post; sg_build_group_api_payload; str,none,unknown,false,risky,not found,Risk: broad exception catch
api_router:soulmate_finder,function,API,api_router.py,505,533,Implements `soulmate_finder`.,"payload:BirthPayload=Body(..., openapi_examples={'sample': {'summary': 'Sample', 'value': {'name': 'Amit', 'dateOfBirth': '1991-07-14', 'timeOfBirth': '22:35:00', 'placeOfBirth': 'Mumbai, IN', 'timeZone': 'Asia/Kolkata', 'latitude': 19.076, 'longitude': 72.8777, 'lang_code': 'en'}}}) (optional)",return: SoulmateOut,none,"Body; SoulmateData; SoulmateOut; dob.replace; dob.replace(year=dob.year + 1).isoformat; dob.replace(year=dob.year + 2).isoformat; dob.replace(year=max(1900, dob.year - 1)).isoformat; dob.replace(year=max(1900, dob.year - 2)).isoformat; dt.date.fromisoformat; max; router.post",none,unknown,false,stable,not found,
api_router:compat_ashtakoota,function,API,api_router.py,543,590,Compute Vedic Gun Milan for two charts and return detailed breakdown plus a short explanation.,"req:CompatibilityPairIn=Body(..., openapi_examples={'sample': {'summary': 'Sample', 'value': {'person1': {'name': 'Amit', 'dateOfBirth': '1991-07-14', 'timeOfBirth': '22:35:00', 'placeOfBirth': 'Mumbai, IN', 'timeZone': 'Asia/Kolkata', 'latitude': 19.076, 'longitude': 72.8777, 'lang_code': 'en'}, 'person2': {'name': 'Riya', 'dateOfBirth': '1993-02-20', 'timeOfBirth': '06:10:00', 'placeOfBirth': 'Delhi, IN', 'timeZone': 'Asia/Kolkata', 'latitude': 28.6139, 'longitude': 77.209, 'lang_code': 'en'}, 'type': 'Marriage'}}}) (optional); ayanamsa:str='lahiri' (optional); coordinate_system:str='sidereal' (optional); strict_tradition:bool=True (optional); use_exceptions:bool=False (optional)",return: AshtakootaOut,none,AshtakootaData; AshtakootaOut; Body; compute_ashtakoota_score; explain_ashtakoota; hasattr; req.person1.dict; req.person1.model_dump; req.person2.dict; req.person2.model_dump; router.post,none,unknown,false,stable,not found,
aspect_card_utils.aspect_card_creation_v0:to_code_planet,function,Core,aspect_card_utils/aspect_card_creation_v0.py,72,73,Implements `to_code_planet`.,name:str (required),return: str,none,name[:3].upper,none,unknown,false,stable,not found,
aspect_card_utils.aspect_card_creation_v0:id_for,function,Core,aspect_card_utils/aspect_card_creation_v0.py,75,76,Implements `id_for`.,p1:str (required); asp_code:str (required); p2:str (required),return: str,none,to_code_planet,none,unknown,false,stable,not found,
aspect_card_utils.aspect_card_creation_v0:canonical_pair,function,Core,aspect_card_utils/aspect_card_creation_v0.py,78,86,Outer→inner for symmetric aspects. Equal rank falls back to alpha.,a:str (required); b:str (required),"return: Tuple[str, str]",none,sorted,none,unknown,false,stable,not found,
aspect_card_utils.aspect_card_creation_v0:_load_life_event_mapping,function,Core,aspect_card_utils/aspect_card_creation_v0.py,116,161,"Load mapping of (PlanetA, AspectName, PlanetB) -> [Life Event labels].",path:str=LIFE_EVENTS_CSV (optional),"return: Dict[Tuple[str, str, str], List[str]]; side_effects: filesystem, network",none,aspect_field.split; csv.DictReader; len; lst.append; mapping.setdefault; open; os.path.exists; p.strip; rev_lst.append; row.get; row.get('Life event') or row.get('Life Event') or ''.strip,"filesystem, network",non-idempotent,false,risky,not found,Risk: broad exception catch; possible hardcoded secret/token
aspect_card_utils.aspect_card_creation_v0:_life_events_for,function,Core,aspect_card_utils/aspect_card_creation_v0.py,163,167,Implements `_life_events_for`.,p1:str (required); aspect_name:str (required); p2:str (required),return: List[str]; side_effects: network,none,LIFE_EVENT_MAP.get; _load_life_event_mapping,network,non-idempotent,false,stable,not found,
aspect_card_utils.aspect_card_creation_v0:make_card,function,Core,aspect_card_utils/aspect_card_creation_v0.py,169,210,Implements `make_card`.,p1:str (required); asp_code:str (required); p2:str (required),return: AspectCard,none,AspectCard; _aspect_valence_tags; _compose_actionables; _compose_core; _compose_facets; _keywords; _life_events_for; _locales; _modifiers; _retrieval_blocks; _risk_notes; _weights_hint; any; date.today; id_for; str,none,unknown,false,stable,not found,
aspect_card_utils.aspect_card_creation_v0:ensure_dirs,function,Core,aspect_card_utils/aspect_card_creation_v0.py,215,217,Implements `ensure_dirs`.,none,return: unknown,none,os.makedirs; os.path.dirname,none,unknown,false,stable,not found,
aspect_card_utils.aspect_card_creation_v0:generate_cards,function,Core,aspect_card_utils/aspect_card_creation_v0.py,219,239,Implements `generate_cards`.,none,return: List[AspectCard],none,ASPECTS.keys; canonical_pair; cards.append; enumerate; make_card,none,unknown,false,stable,not found,
aspect_card_utils.aspect_card_creation_v0:write_cards,function,Core,aspect_card_utils/aspect_card_creation_v0.py,241,251,Implements `write_cards`.,cards:List[AspectCard] (required),return: None; side_effects: filesystem,none,asdict; ensure_dirs; index.append; json.dump; len; open; os.path.join,filesystem,non-idempotent,false,risky,not found,Risk: possible hardcoded secret/token
aspect_card_utils.aspect_card_creation_v0:main,function,Core,aspect_card_utils/aspect_card_creation_v0.py,253,258,Implements `main`.,none,return: unknown; side_effects: logging,none,generate_cards; len; os.path.abspath; print; write_cards,logging,idempotent,false,stable,found,
aspect_card_utils.aspect_card_mgmt:AspectCardModel._id_format,classmethod,API,aspect_card_utils/aspect_card_mgmt.py,108,111,Implements `AspectCardModel._id_format`.,v:str (required),return: str,ValueError('id must match AAA_ASP_BBB__vX.Y.Z (uppercase 3-letter codes)'),ID_PATTERN.match; ValueError; field_validator,none,unknown,false,stable,not found,
aspect_card_utils.aspect_card_mgmt:AspectCardModel._pair_format,classmethod,API,aspect_card_utils/aspect_card_mgmt.py,115,123,Implements `AspectCardModel._pair_format`.,v:List[str] (required),return: List[str],"ValueError('pair must be [PlanetA, AspectName, PlanetB]'); ValueError(f'AspectName must be one of {list(ASPECT_NAME_BY_CODE.values())}'); ValueError(f'Planet must be one of {PLANETS}')",ASPECT_NAME_BY_CODE.values; ValueError; field_validator; len; list; set,none,unknown,false,stable,not found,
aspect_card_utils.aspect_card_mgmt:ensure_dirs,function,API,aspect_card_utils/aspect_card_mgmt.py,150,152,Implements `ensure_dirs`.,none,return: None,none,os.makedirs,none,unknown,false,stable,not found,
aspect_card_utils.aspect_card_mgmt:card_path,function,API,aspect_card_utils/aspect_card_mgmt.py,154,155,Implements `card_path`.,card_id:str (required),return: str,none,os.path.join,none,unknown,false,stable,not found,
aspect_card_utils.aspect_card_mgmt:load_card,function,API,aspect_card_utils/aspect_card_mgmt.py,157,168,Implements `load_card`.,card_id:str (required),return: AspectCardModel,"FileNotFoundError(card_id); HTTPException(status_code=422, detail=e.errors())",AspectCardModel; FileNotFoundError; HTTPException; card_path; e.errors; f.read; f.read().decode; json.loads; os.path.exists; portalocker.Lock,none,unknown,false,stable,not found,
aspect_card_utils.aspect_card_mgmt:save_card,function,API,aspect_card_utils/aspect_card_mgmt.py,170,180,Implements `save_card`.,model:AspectCardModel (required),return: None; side_effects: filesystem,none,card_path; ensure_dirs; f.write; json.dumps; json.loads; model.model_dump_json; payload_str.encode; portalocker.Lock,filesystem,non-idempotent,false,stable,not found,
aspect_card_utils.aspect_card_mgmt:delete_card,function,API,aspect_card_utils/aspect_card_mgmt.py,182,185,Implements `delete_card`.,card_id:str (required),return: None; side_effects: db,none,card_path; os.path.exists; os.remove,db,non-idempotent,false,stable,not found,
aspect_card_utils.aspect_card_mgmt:list_card_ids,function,API,aspect_card_utils/aspect_card_mgmt.py,187,190,Implements `list_card_ids`.,none,return: List[str],none,ensure_dirs; glob.glob; os.path.basename; os.path.join; os.path.splitext; sorted,none,unknown,false,stable,not found,
aspect_card_utils.aspect_card_mgmt:_parse_fields_param,function,API,aspect_card_utils/aspect_card_mgmt.py,195,208,Parse a comma-separated fields string into list of dot-path segments.,fields:Optional[str] (required),return: List[List[str]],none,fields.split; out.append; t.split; token.strip,none,unknown,false,risky,not found,Risk: possible hardcoded secret/token
aspect_card_utils.aspect_card_mgmt:_get_by_path,function,API,aspect_card_utils/aspect_card_mgmt.py,210,217,Implements `_get_by_path`.,data:Any (required); path:List[str] (required),"return: tuple[Any, bool]",none,isinstance,none,unknown,false,stable,not found,
aspect_card_utils.aspect_card_mgmt:_assign_by_path,function,API,aspect_card_utils/aspect_card_mgmt.py,219,225,Implements `_assign_by_path`.,dst:dict (required); path:List[str] (required); value:Any (required),return: None,none,isinstance,none,unknown,false,stable,not found,
aspect_card_utils.aspect_card_mgmt:_select_fields_dict,function,API,aspect_card_utils/aspect_card_mgmt.py,227,235,Implements `_select_fields_dict`.,data:dict (required); paths:List[List[str]] (required),return: dict,none,_assign_by_path; _get_by_path,none,unknown,false,stable,not found,
aspect_card_utils.aspect_card_mgmt:_select_lang_from_value,function,API,aspect_card_utils/aspect_card_mgmt.py,237,246,"Recursively reduce bilingual {en,hi} structures to one language.",value:Any (required); lang_code:str (required),return: Any,none,_select_lang_from_value; isinstance; keys.issubset; set; value.items; value.keys,none,unknown,false,stable,not found,
aspect_card_utils.aspect_card_mgmt:health,function,API,aspect_card_utils/aspect_card_mgmt.py,262,263,Implements `health`.,none,return: unknown,none,app.get; datetime.utcnow; datetime.utcnow().isoformat,none,unknown,false,stable,not found,
aspect_card_utils.aspect_card_mgmt:root_redirect,function,API,aspect_card_utils/aspect_card_mgmt.py,266,267,Implements `root_redirect`.,none,return: unknown,none,RedirectResponse; app.get,none,unknown,false,stable,not found,
aspect_card_utils.aspect_card_mgmt:list_cards_api,function,API,aspect_card_utils/aspect_card_mgmt.py,270,301,Implements `list_cards_api`.,"planet:Optional[str]=Query(None) (optional); aspect_code:Optional[str]=Query(None) (optional); q:Optional[str]=Query(None) (optional); limit:int=Query(50, ge=1, le=500) (optional); offset:int=Query(0, ge=0) (optional)","return: unknown; side_effects: filesystem, network",none,"ASPECT_NAME_BY_CODE.get; Query; app.get; c.locales.get; c.model_dump_json; en_loc.get; isinstance; json.dumps; json.dumps(json.loads(c.model_dump_json()), ensure_ascii=False).lower; json.loads; len; list_card_ids; load_card; q.lower; results.append","filesystem, network",non-idempotent,false,risky,not found,Risk: broad exception catch
aspect_card_utils.aspect_card_mgmt:get_card_api,function,API,aspect_card_utils/aspect_card_mgmt.py,304,308,Implements `get_card_api`.,card_id:str (required),return: unknown,"HTTPException(status_code=404, detail='Card not found')",HTTPException; app.get; load_card,none,unknown,false,stable,not found,
aspect_card_utils.aspect_card_mgmt:get_card_fields,function,API,aspect_card_utils/aspect_card_mgmt.py,311,337,Return only selected fields from a card.,"card_id:str (required); fields:Optional[str]=Query(None, description='Comma-separated list of fields (dot notation for nested) e.g. core_meaning,facets.career,locales.en.title') (optional); lang_code:Optional[str]=Query(None, description='Language code for bilingual fields: en or hi') (optional)",return: unknown,"HTTPException(status_code=400, detail=""lang_code must be either 'en' or 'hi'""); HTTPException(status_code=400, detail='fields query parameter required'); HTTPException(status_code=404, detail='Card not found')",HTTPException; Query; _parse_fields_param; _select_fields_dict; _select_lang_from_value; app.get; json.loads; load_card; model.model_dump_json,none,unknown,false,stable,not found,
aspect_card_utils.aspect_card_mgmt:create_card_api,function,API,aspect_card_utils/aspect_card_mgmt.py,340,345,Implements `create_card_api`.,card:AspectCardModel (required),return: unknown,"HTTPException(status_code=409, detail='Card with this id already exists')",HTTPException; app.post; card_path; os.path.exists; save_card,none,unknown,false,stable,not found,
aspect_card_utils.aspect_card_mgmt:replace_card_api,function,API,aspect_card_utils/aspect_card_mgmt.py,348,352,Implements `replace_card_api`.,card_id:str (required); card:AspectCardModel (required),return: unknown,"HTTPException(status_code=400, detail='Path id and body id must match')",HTTPException; app.put; save_card,none,unknown,false,stable,not found,
aspect_card_utils.aspect_card_mgmt:patch_card_api,function,API,aspect_card_utils/aspect_card_mgmt.py,355,382,Implements `patch_card_api`.,card_id:str (required); patch:AspectCardPatch=Body(...) (optional),"return: unknown; side_effects: db, network","HTTPException(status_code=404, detail='Card not found'); HTTPException(status_code=422, detail=e.errors())",AspectCardModel; Body; HTTPException; app.patch; base.update; card_path; data.get; data.update; e.errors; existing.model_dump_json; isinstance; json.loads; load_card; loc.get; os.path.exists; os.remove; patch.model_dump; patch.model_dump(exclude_none=True).items; patch_data['locales'].items; payload.items,"db, network",non-idempotent,false,stable,not found,
aspect_card_utils.aspect_card_mgmt:delete_card_api,function,API,aspect_card_utils/aspect_card_mgmt.py,385,391,Implements `delete_card_api`.,card_id:str (required),return: unknown; side_effects: db,"HTTPException(status_code=404, detail='Card not found')",HTTPException; app.delete; delete_card; load_card,db,non-idempotent,false,stable,not found,
aspect_card_utils.aspect_card_mgmt:get_schema_api,function,API,aspect_card_utils/aspect_card_mgmt.py,394,395,Implements `get_schema_api`.,none,return: unknown,none,AspectCardModel.model_json_schema; app.get,none,unknown,false,stable,not found,
aspect_card_utils.aspect_card_mgmt:enums_api,function,API,aspect_card_utils/aspect_card_mgmt.py,398,399,Implements `enums_api`.,none,return: unknown,none,app.get,none,unknown,false,stable,not found,
aspect_card_utils.aspect_card_mgmt:page,function,API,aspect_card_utils/aspect_card_mgmt.py,407,448,Implements `page`.,title:str (required); body_html:str (required),return: HTMLResponse,none,HTMLResponse,none,unknown,false,stable,found,
aspect_card_utils.aspect_card_mgmt:render_table,function,API,aspect_card_utils/aspect_card_mgmt.py,459,480,Implements `render_table`.,items:List[dict] (required),return: str; side_effects: network,none,''.join; LIST_ROW_TEMPLATE.format; item.get; rows.append,network,non-idempotent,false,stable,not found,
aspect_card_utils.aspect_card_mgmt:admin_home,function,API,aspect_card_utils/aspect_card_mgmt.py,484,502,Implements `admin_home`.,request:Request (required),return: unknown,none,''.join; app.get; page,none,unknown,false,stable,not found,
aspect_card_utils.aspect_card_mgmt:admin_cards_list,function,API,aspect_card_utils/aspect_card_mgmt.py,505,525,Implements `admin_cards_list`.,request:Request (required); planet:Optional[str]=None (optional); aspect_code:Optional[str]=None (optional); q:Optional[str]=None (optional); page:int=1 (optional); page_size:int=25 (optional),return: unknown,none,HTMLResponse; app.get; list_cards_api; max; min; render_table,none,unknown,false,stable,not found,
aspect_card_utils.aspect_card_mgmt:admin_new_card,function,API,aspect_card_utils/aspect_card_mgmt.py,528,562,Implements `admin_new_card`.,none,return: unknown; side_effects: filesystem,none,app.get; datetime.utcnow; datetime.utcnow().date; datetime.utcnow().date().isoformat; json.dumps; page,filesystem,non-idempotent,false,stable,not found,
aspect_card_utils.aspect_card_mgmt:admin_create_card,function,API,aspect_card_utils/aspect_card_mgmt.py,565,577,Implements `admin_create_card`.,payload:str=Form(...) (optional),return: unknown,ValueError('JSON payload must be an object'),AspectCardModel; Form; HTMLResponse; RedirectResponse; ValueError; app.post; card_path; isinstance; json.loads; os.path.exists; payload.strip; save_card,none,unknown,false,risky,not found,Risk: broad exception catch
aspect_card_utils.aspect_card_mgmt:admin_edit_card,function,API,aspect_card_utils/aspect_card_mgmt.py,580,608,Implements `admin_edit_card`.,card_id:str (required),"return: unknown; side_effects: db, filesystem",none,app.get; json.dumps; json.loads; load_card; model.model_dump_json; page,"db, filesystem",non-idempotent,false,stable,not found,
aspect_card_utils.aspect_card_mgmt:admin_view_card,function,API,aspect_card_utils/aspect_card_mgmt.py,611,630,Read-only structured viewer for a card using the viewer components module.,card_id:str (required),return: unknown,none,app.get; load_card; page; render_card_readonly,none,unknown,false,stable,not found,
aspect_card_utils.aspect_card_mgmt:admin_save_card,function,API,aspect_card_utils/aspect_card_mgmt.py,633,648,Implements `admin_save_card`.,card_id:str (required); payload:str=Form(...) (optional),return: unknown,ValueError('JSON payload must be an object'),AspectCardModel; Form; HTMLResponse; RedirectResponse; ValueError; app.post; card_path; isinstance; json.loads; os.path.exists; os.remove; payload.strip; save_card,none,unknown,false,risky,not found,Risk: broad exception catch
aspect_card_utils.aspect_card_mgmt:admin_delete_card,function,API,aspect_card_utils/aspect_card_mgmt.py,651,656,Implements `admin_delete_card`.,card_id:str (required),return: unknown; side_effects: db,none,HTMLResponse; RedirectResponse; app.post; delete_card_api,db,non-idempotent,false,stable,not found,
aspect_card_utils.aspect_card_viewer:_norm_bilingual,function,Core,aspect_card_utils/aspect_card_viewer.py,29,45,Return a dict with 'en' and 'hi' keys for bilingual display.,val:Any (required),"return: Dict[str, Any]; side_effects: network",none,"', '.join; isinstance; str; val.get",network,non-idempotent,false,stable,not found,
aspect_card_utils.aspect_card_viewer:_norm_facet_block,function,Core,aspect_card_utils/aspect_card_viewer.py,48,53,Implements `_norm_facet_block`.,"facets:Dict[str, Any] (required)","return: Dict[str, Dict[str, str]]; side_effects: network",none,_norm_bilingual; facets.items; norm.get; str,network,non-idempotent,false,stable,not found,
aspect_card_utils.aspect_card_viewer:_norm_actionables,function,Core,aspect_card_utils/aspect_card_viewer.py,56,71,Implements `_norm_actionables`.,"actionables:Dict[str, Any] (required)","return: Dict[str, Dict[str, List[str]]]; side_effects: network",none,actionables.items; isinstance; payload.get; str,network,non-idempotent,false,stable,not found,
aspect_card_utils.aspect_card_viewer:_norm_embedding_sections,function,Core,aspect_card_utils/aspect_card_viewer.py,74,79,Implements `_norm_embedding_sections`.,"retrieval:Dict[str, Any] (required)","return: Dict[str, Dict[str, str]]; side_effects: network",none,_norm_bilingual; emb.items; retrieval.get,network,non-idempotent,false,stable,not found,
aspect_card_utils.aspect_card_viewer:_badge,function,Core,aspect_card_utils/aspect_card_viewer.py,83,86,Implements `_badge`.,text:str (required); color:str='indigo' (optional),return: str,none,escape,none,unknown,false,stable,not found,
aspect_card_utils.aspect_card_viewer:_collapsible,function,Core,aspect_card_utils/aspect_card_viewer.py,89,99,Implements `_collapsible`.,summary:str (required); inner_html:str (required); open:bool=False (optional),return: str,none,escape,none,unknown,false,stable,not found,
aspect_card_utils.aspect_card_viewer:_render_list,function,Core,aspect_card_utils/aspect_card_viewer.py,102,105,Implements `_render_list`.,items:List[str] (required),return: str,none,''.join; escape,none,unknown,false,stable,not found,
aspect_card_utils.aspect_card_viewer:render_section_grid,function,Core,aspect_card_utils/aspect_card_viewer.py,108,118,Implements `render_section_grid`.,"title:str (required); sections:List[tuple[str, str]] (required)",return: str,none,''.join; cards.append; escape,none,unknown,false,stable,not found,
aspect_card_utils.aspect_card_viewer:render_card_readonly,function,Core,aspect_card_utils/aspect_card_viewer.py,122,239,Implements `render_card_readonly`.,card:Any (required),return: str; side_effects: network,none,''.join; _badge; _collapsible; _norm_actionables; _norm_bilingual; _norm_embedding_sections; _norm_facet_block; _render_list; action_html_blocks.append; emb_blocks.append; embeddings.items; escape; facet_cards.append; facets.items; getattr; isinstance; locales.get; locales['en'].get; locales['hi'].get; parts.append,network,non-idempotent,false,risky,not found,Risk: large function >80 LOC
aspect_card_utils.aspect_report:load_index,function,Core,aspect_card_utils/aspect_report.py,38,52,Implements `load_index`.,index_path:str=INDEX_PATH (optional),"return: Dict[str, Any]; side_effects: filesystem, network",FileNotFoundError(f'index.json not found at {index_path}'),FileNotFoundError; data.get; item.get; json.load; len; open; os.path.exists; os.path.join,"filesystem, network",non-idempotent,false,stable,not found,
aspect_card_utils.aspect_report:load_card,function,Core,aspect_card_utils/aspect_report.py,54,59,Implements `load_card`.,"card_id:str (required); id_to_path:Dict[str, str] (required)","return: Dict[str, Any]; side_effects: filesystem, network",FileNotFoundError(f'Card file not found: {path}'),FileNotFoundError; id_to_path.get; json.load; open; os.path.exists; os.path.join,"filesystem, network",non-idempotent,false,stable,not found,
