aspect_code,spending_implication
MOO CON VEN,Emotional comfort spending. Supportive: balanced tastes; Hard: mood-driven purchases.
MOO TRI MER,Emotion–logic interaction. Supportive: thoughtful decisions; Hard: anxious or reactive buying.
MOO SEX MER,Emotion–logic interaction. Supportive: thoughtful decisions; Hard: anxious or reactive buying.
MOO SQR MER,Emotion–logic interaction. Supportive: thoughtful decisions; Hard: anxious or reactive buying.
MOO OPP MER,Emotion–logic interaction. Supportive: thoughtful decisions; Hard: anxious or reactive buying.
MOO CON MAR,Emotion–action link. Supportive: decisive when planned; Hard: reactive impulse spending.
MOO TRI MAR,Emotion–action link. Supportive: decisive when planned; Hard: reactive impulse spending.
MOO SEX MAR,Emotion–action link. Supportive: decisive when planned; Hard: reactive impulse spending.
MOO SQR MAR,Emotion–action link. Supportive: decisive when planned; Hard: reactive impulse spending.
MOO OPP MAR,Emotion–action link. Supportive: decisive when planned; Hard: reactive impulse spending.
MOO CON VEN,Short-term comfort shopping urge. Supportive: pleasant small buys; Hard: emotional overspending.
MOO TRI VEN,Short-term comfort shopping urge. Supportive: pleasant small buys; Hard: emotional overspending.
MOO SEX VEN,Short-term comfort shopping urge. Supportive: pleasant small buys; Hard: emotional overspending.
MOO SQR VEN,Short-term comfort shopping urge. Supportive: pleasant small buys; Hard: emotional overspending.
MOO OPP VEN,Short-term comfort shopping urge. Supportive: pleasant small buys; Hard: emotional overspending.
MOO CON JUP,Temporary optimism. Supportive: good for celebrations; Hard: exaggeration and excess.
MOO TRI JUP,Temporary optimism. Supportive: good for celebrations; Hard: exaggeration and excess.
MOO SEX JUP,Temporary optimism. Supportive: good for celebrations; Hard: exaggeration and excess.
MOO SQR JUP,Temporary optimism. Supportive: good for celebrations; Hard: exaggeration and excess.
MOO OPP JUP,Temporary optimism. Supportive: good for celebrations; Hard: exaggeration and excess.
MOO CON SAT,Caution mood. Supportive: disciplined purchase; Hard: pessimism or avoidance.
MOO TRI SAT,Caution mood. Supportive: disciplined purchase; Hard: pessimism or avoidance.
MOO SEX SAT,Caution mood. Supportive: disciplined purchase; Hard: pessimism or avoidance.
MOO SQR SAT,Caution mood. Supportive: disciplined purchase; Hard: pessimism or avoidance.
MOO OPP SAT,Caution mood. Supportive: disciplined purchase; Hard: pessimism or avoidance.
MOO CON MER,Mood affects decision clarity. Supportive: intuitive planning; Hard: miscommunication risk.
MOO TRI MER,Mood affects decision clarity. Supportive: intuitive planning; Hard: miscommunication risk.
MOO SEX MER,Mood affects decision clarity. Supportive: intuitive planning; Hard: miscommunication risk.
MOO SQR MER,Mood affects decision clarity. Supportive: intuitive planning; Hard: miscommunication risk.
MOO OPP MER,Mood affects decision clarity. Supportive: intuitive planning; Hard: miscommunication risk.
MOO CON MAR,Reactive impulse. Supportive: quick execution; Hard: rash spending decisions.
MOO TRI MAR,Reactive impulse. Supportive: quick execution; Hard: rash spending decisions.
MOO SEX MAR,Reactive impulse. Supportive: quick execution; Hard: rash spending decisions.
MOO SQR MAR,Reactive impulse. Supportive: quick execution; Hard: rash spending decisions.
MOO OPP MAR,Reactive impulse. Supportive: quick execution; Hard: rash spending decisions.
MOO CON R2,Money-house trigger. Supportive: aligned small purchase; Hard: financial mood swings.
MOO TRI R2,Money-house trigger. Supportive: aligned small purchase; Hard: financial mood swings.
MOO SEX R2,Money-house trigger. Supportive: aligned small purchase; Hard: financial mood swings.
MOO SQR R2,Money-house trigger. Supportive: aligned small purchase; Hard: financial mood swings.
MOO OPP R2,Money-house trigger. Supportive: aligned small purchase; Hard: financial mood swings.
MOO CON R8,Shared-finance trigger. Supportive: collaborative expense; Hard: tension around debt/loans.
MOO TRI R8,Shared-finance trigger. Supportive: collaborative expense; Hard: tension around debt/loans.
MOO SEX R8,Shared-finance trigger. Supportive: collaborative expense; Hard: tension around debt/loans.
MOO SQR R8,Shared-finance trigger. Supportive: collaborative expense; Hard: tension around debt/loans.
MOO OPP R8,Shared-finance trigger. Supportive: collaborative expense; Hard: tension around debt/loans.
