Page,Section,UI Label/Component,Data Type,Backend JSON Path,API_Path,JSON_Path,Source/Generation Type,Comments,Status
Timeline,Gantt Chart,Start Date,Date,report/timeline/data.items.startDate,report/timeline,data.items.startDate,Astro Calculation,"List of aspects
Use both Hindi and English",Done
Timeline,Gantt Chart,Exact Date,Date,report/timeline/data.items.ExactDate,report/timeline,data.items.ExactDate,Astro Calculation,"List of aspects
Use both Hindi and English",Done
Timeline,Gantt Chart,End Date,Date,report/timeline/data.items.endDate,report/timeline,data.items.endDate,Astro Calculation,"List of aspects
Use both Hindi and English",Done
Timeline,List View,Keywords,String,report/timeline/data.items.keywords,report/timeline,data.items.keywords,Astro Calculation,"List of aspects
Use both Hindi and English",Done
Timeline,List View,Description,String,"report/timeline/data.items.description
data.items.keyPoints",report/timeline,"data.items.description
data.items.keyPoints",Astro Calculation,"List of aspects
Use both Hindi and English",Done
Timeline,Summary,Over all summary,String,report/timeline/data.aiSummary,report/timeline,data.aiSummary,Astro AI API,"List of aspects
Use both Hindi and English",Done
Calendar,Header,Month/Year,Date,,,,,,
Calendar,Grid Cell,Day Number,Number,,,,,,
Calendar,Grid Cell,Aspect Title,String,,,,,,
Calendar,Grid Cell,Aspect Type,String,,,,,,
Calendar,Grid Cell,Aspect Description,String,,,,,,
